"Bio01" "Bio02" "Bio03" "Bio04" "Bio05" "Bio06" "Bio07" "Bio08" "Bio09" "Bio10" "Bio11" "Bio12" "Bio13" "Bio14" "Bio15" "Bio16" "Bio17" "Bio18" "Bio19" "Bio20" "Bio21" "bulk_dens" "cation_exchange_capacity" "vol_fraction_coarse" "clay_prop" "nitrogen" "org_C_dens" "org_C_stock" "soil_pH" "sand_prop" "silt_prop" "soil_org_carbon"
"Bio11" 0.865367610486743 -0.232569987264957 0.0862965215381563 -0.416804163683395 0.364573703405198 0.903062223424565 -0.250406135351657 0.389358828690599 0.905543564113065 0.659171716718456 1 0.420756394276765 0.492911812467244 0.178499571614964 0.153519847686856 0.518426534427239 0.180718929433309 0.104276340372409 0.36301989064295 0.115195712933404 -0.238039753355377 -0.0158259363134344 -0.478500599259369 -0.104090848749257 0.0249340459736834 -0.326113620033422 -0.23971502629254 -0.293283502458091 -0.434268137357891 -0.271906503648564 0.309647553962298 0.0779490285609895
"Bio12" 0.0533886829819764 -0.591784108605702 0.303124170092759 -0.799985090878926 -0.449056962247563 0.531879381796934 -0.682595475977381 -0.405395257897929 0.425192806201061 -0.249027048012828 0.420756394276765 1 0.862541828297776 0.784268177346384 -0.346257543393447 0.887011563996093 0.820049818336159 0.777572850750344 0.796872052705403 -0.450171699467136 -0.167058646502973 -0.651385994770702 -0.222235159621976 -0.020506077160394 0.400350192310075 0.264467658215466 0.512300187343769 0.452405279091416 -0.73592777651359 -0.699831158249022 0.597906357377176 0.545368964357695
"Bio13" 0.12286779551086 -0.540838079964317 0.186880450468715 -0.741901079013972 -0.314905488921005 0.579981018188611 -0.603440791214503 -0.308950191482422 0.491401192117994 -0.115093052197964 0.492911812467244 0.862541828297776 1 0.423007102816761 0.125902384735362 0.985931140171516 0.462491207924409 0.542721713203628 0.592109320069846 -0.15174013159199 -0.38397594245358 -0.397728871032865 -0.538953919987069 0.0320406263138215 0.307425337652108 -0.0415055212601989 0.227647652883207 0.17467573273382 -0.668014766712567 -0.586652061660744 0.517854159833984 0.252610099237486
"Bio14" -0.0175497659607909 -0.403787568527438 0.336970785567947 -0.515358077516473 -0.404882772874665 0.277751773759036 -0.493811544655351 -0.348530099374188 0.228858721375248 -0.27254170744662 0.178499571614964 0.784268177346384 0.423007102816761 1 -0.721524665945438 0.452400341766825 0.989620900314345 0.756347971258831 0.795342473287891 -0.581238213396733 0.2952668984734 -0.673228717596756 0.18346682177276 0.028183822155568 0.462482616841928 0.52776184525385 0.588047043621963 0.554939612037008 -0.544661937273412 -0.493120540351023 0.314859757607612 0.683303970919356
"Bio15" 0.212962534619901 0.314667714535277 -0.168921978033046 0.240416798007213 0.450922040461435 0.0050850076271309 0.360449863467739 0.297214039166498 0.0732171612542388 0.37599913271593 0.153519847686856 -0.346257543393447 0.125902384735362 -0.721524665945438 1 0.0902808273095557 -0.724624441422618 -0.436706400641608 -0.442946551566351 0.795926693029057 -0.470593840218245 0.571509338678468 -0.607960408498603 0.0890877511482204 -0.21836001049999 -0.619281151444539 -0.564194090185228 -0.572446987668411 0.259096413916752 0.321700259296698 -0.254350412323391 -0.5787870523929
"Bio16" 0.144788694114689 -0.536048830240818 0.206468052143149 -0.761216815380721 -0.306301709823676 0.592056853553529 -0.603783350508785 -0.30536278137613 0.502082163903996 -0.107597316097489 0.518426534427239 0.887011563996093 0.985931140171516 0.452400341766825 0.0902808273095557 1 0.492231192460461 0.569674907976445 0.628761493288408 -0.14926351459535 -0.408495526446629 -0.432684860620638 -0.523500096416805 0.0253964028554077 0.318072078112992 -0.0235336756144749 0.255224485210251 0.202531109474271 -0.688003922979684 -0.610371571525653 0.53986731932937 0.282177908081842
"Bio17" -0.0380836893310112 -0.452112230804417 0.327796185714928 -0.555241742171775 -0.448939309950873 0.297929771666568 -0.541490170022684 -0.369973176587921 0.230576659875672 -0.302794840908286 0.180718929433309 0.820049818336159 0.462491207924409 0.989620900314345 -0.724624441422618 0.492231192460461 1 0.787282807695518 0.779992104984569 -0.613426639388474 0.244638591197409 -0.684740048939438 0.173244895692512 -0.0171819081529707 0.441271804391053 0.510693632832455 0.614895984660452 0.56222004560054 -0.56798896669086 -0.539849850919043 0.383058709647463 0.683689015158563
"Bio18" -0.0883594992074765 -0.322269036821259 0.403352446238449 -0.489271302821584 -0.399757520557208 0.197484290154065 -0.441299466776427 -0.226539379331176 0.0253733132510876 -0.316315825205299 0.104276340372409 0.777572850750344 0.542721713203628 0.756347971258831 -0.436706400641608 0.569674907976445 0.787282807695518 1 0.520449860334244 -0.426005128423108 -0.0880922958758168 -0.549928893350317 -0.0196519404159532 -0.203980321401666 0.39018961732979 0.359968505376713 0.632451647849566 0.468612231238653 -0.440973292649181 -0.547331982808672 0.4220487136776 0.607472302525588
"Bio19" 0.106681906544804 -0.430659526578311 0.291413923675111 -0.613877600174073 -0.314483875230194 0.428518483937793 -0.511808588899966 -0.403033337353169 0.441024654808139 -0.158515393211639 0.36301989064295 0.796872052705403 0.592109320069846 0.795342473287891 -0.442946551566351 0.628761493288408 0.779992104984569 0.520449860334244 1 -0.377464026015177 0.178320753854118 -0.625511977891905 -0.0233769937625261 0.190367702430953 0.522684057919668 0.391706340008672 0.396273769577809 0.419886926236862 -0.614507409601343 -0.499451532080405 0.287018485957219 0.484011095601329
"Bio20" 0.303129753603208 0.523470768868005 -0.170530585336657 0.431196331563332 0.650123864980565 -0.10565992532701 0.587788423255924 0.402045271248453 0.0377275277494677 0.477608343567665 0.115195712933404 -0.450171699467136 -0.15174013159199 -0.581238213396733 0.795926693029057 -0.14926351459535 -0.613426639388474 -0.426005128423108 -0.377464026015177 1 -0.272601231057074 0.492519521269653 -0.355248137550623 0.0813350612161399 -0.147968340209836 -0.440514297675718 -0.531832876767638 -0.542107418118275 0.447562450806633 0.378766515021818 -0.363818492349444 -0.467657679509328
